date,time_period,usage,is_free
2024-12-20,09:00 - 09:30,0.512,No
2024-12-20,09:30 - 10:00,0.109,No
2024-12-20,10:00 - 10:30,0.057,No
2024-12-20,10:30 - 11:00,0.024,No
2024-12-20,11:00 - 11:30,0.055,No
2024-12-20,11:30 - 12:00,0.024,No
2024-12-20,12:00 - 12:30,0.027,No
2024-12-20,12:30 - 13:00,0.05,No
2024-12-20,13:00 - 13:30,1.59,No
2024-12-20,13:30 - 14:00,2.026,No
2024-12-20,14:00 - 14:30,0.097,No
2024-12-20,14:30 - 15:00,0.033,No
2024-12-20,15:00 - 15:30,0.063,No
2024-12-20,15:30 - 16:00,0.067,No
2024-12-20,16:00 - 16:30,0.13,No
2024-12-20,16:30 - 17:00,0.068,No
2024-12-20,17:00 - 17:30,0.091,No
2024-12-20,17:30 - 18:00,0.293,No
2024-12-20,18:00 - 18:30,0.153,No
2024-12-20,18:30 - 19:00,0.07,No
2024-12-20,19:00 - 19:30,0.22,No
2024-12-20,19:30 - 20:00,0.125,No
2024-12-20,20:00 - 20:30,0.103,No
2024-12-20,20:30 - 21:00,0.146,No
2024-12-20,21:00 - 21:30,1.835,Yes
2024-12-20,21:30 - 22:00,2.252,Yes
2024-12-20,22:00 - 22:30,2.122,Yes
2024-12-20,22:30 - 23:00,1.826,Yes
2024-12-20,23:00 - 23:30,0.099,Yes
2024-12-20,23:30 - 00:00,0.066,Yes
2024-12-19,00:00 - 00:30,0.095,No
2024-12-19,00:30 - 01:00,0.091,No
2024-12-19,01:00 - 01:30,0.052,No
2024-12-19,01:30 - 02:00,0.025,No
2024-12-19,02:00 - 02:30,0.025,No
2024-12-19,02:30 - 03:00,0.04,No
2024-12-19,03:00 - 03:30,0.038,No
2024-12-19,03:30 - 04:00,0.025,No
2024-12-19,04:00 - 04:30,0.031,No
2024-12-19,04:30 - 05:00,0.033,No
2024-12-19,05:00 - 05:30,0.055,No
2024-12-19,05:30 - 06:00,0.027,No
2024-12-19,06:00 - 06:30,1.589,Yes
2024-12-19,06:30 - 07:00,0.943,Yes
2024-12-19,07:00 - 07:30,0.139,No
2024-12-19,07:30 - 08:00,0.067,No
2024-12-19,08:00 - 08:30,0.067,No
2024-12-19,08:30 - 09:00,0.067,No
2024-12-19,09:00 - 09:30,0.269,No
2024-12-19,09:30 - 10:00,0.132,No
